Tue 02 Jul 2024, 03:53PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=681 y=259 dx=-0.08859009238489668 dy=-0.04638745014802465 clicks=0 score=0,  RED: x=681,  y=259,  dx=-0.08859009238489668,  dy=-0.04638745014802465,  clicks=0,  score=0,ORANGE x=1334 y=145 dx=0.061307495659009115 dy=0.07900247449302192 clicks=0 score=0,  ORANGE: x=1334,  y=145,  dx=0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0,YELLOW x=343 y=621 dx=0.08662183323260902 dy=-0.04996656889783479 clicks=0 score=0,  YELLOW: x=343,  y=621,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=0,  score=0,
4.676, 43, Clicked: YELLOW, x=329,  y=531,  RED: x=1147,  y=211,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=0,  score=0, ORANGE: x=714,  y=491,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, DARK_YELLOW: x=343,  y=531,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=10,  score=9,
4.824, 44, Clicked: YELLOW, x=328,  y=531,  RED: x=1148,  y=229,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=0,  score=0, ORANGE: x=732,  y=488,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, DARK_YELLOW: x=329,  y=520,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=11,  score=10,
4.973000000000001, 45, Clicked: YELLOW, x=328,  y=530,  RED: x=1148,  y=247,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=0,  score=0, ORANGE: x=750,  y=485,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, DARK_YELLOW: x=315,  y=508,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=12,  score=11,
5.07, 46, Clicked: YELLOW, x=328,  y=530,  RED: x=1148,  y=259,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=0,  score=0, ORANGE: x=762,  y=483,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, DARK_YELLOW: x=306,  y=501,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=13,  score=11,
5.202999999999999, 46, Clicked: YELLOW, x=328,  y=530,  RED: x=1149,  y=275,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=0,  score=0, ORANGE: x=778,  y=481,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, DARK_YELLOW: x=294,  y=491,  dx=-0.07726937447892977,  dy=-0.06347789983635974,  clicks=14,  score=12,
8.293, 47, Clicked: RED, x=1156,  y=659,  DARK_RED: x=1157,  y=649,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=1,  score=1, ORANGE: x=1147,  y=421,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, YELLOW: x=314,  y=253,  dx=0.07726937447892977,  dy=-0.06347789983635974,  clicks=14,  score=12,
8.424, 48, Clicked: RED, x=1156,  y=659,  DARK_RED: x=1157,  y=665,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=2,  score=2, ORANGE: x=1163,  y=419,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, YELLOW: x=326,  y=243,  dx=0.07726937447892977,  dy=-0.06347789983635974,  clicks=14,  score=12,
8.571000000000002, 49, Clicked: RED, x=1156,  y=659,  DARK_RED: x=1158,  y=683,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=3,  score=3, ORANGE: x=1180,  y=416,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, YELLOW: x=340,  y=232,  dx=0.07726937447892977,  dy=-0.06347789983635974,  clicks=14,  score=12,
8.834, 50, Clicked: RED, x=1152,  y=697,  DARK_RED: x=1159,  y=715,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=4,  score=4, ORANGE: x=1212,  y=411,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, YELLOW: x=365,  y=211,  dx=0.07726937447892977,  dy=-0.06347789983635974,  clicks=14,  score=12,
8.965, 51, Clicked: RED, x=1153,  y=704,  DARK_RED: x=1159,  y=731,  dx=0.002214253904205007,  dy=0.09997548239267323,  clicks=5,  score=5, ORANGE: x=1228,  y=408,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=4,  score=4, YELLOW: x=377,  y=201,  dx=0.07726937447892977,  dy=-0.06347789983635974,  clicks=14,  score=12,
