Tue 22 Oct 2024, 11:46PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
13.565, 32, Clicked: (255, 0, 0), x=1072,  y=691, Clicked: None, x=1072, y=691, Clicked: None, x=1072, y=691,  (204, 0, 0): x=1065,  y=712,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=13,  score=13, (255, 0, 0): x=802,  y=823,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=7,  score=7, (255, 0, 0): x=1486,  y=637,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
13.715, 33, Clicked: (255, 0, 0), x=1058,  y=694, Clicked: None, x=1058, y=694, Clicked: None, x=1058, y=694,  (204, 0, 0): x=1053,  y=711,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (255, 0, 0): x=791,  y=842,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=7,  score=7, (255, 0, 0): x=1504,  y=640,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
14.296, 34, Clicked: None, x=751, y=888, Clicked: (255, 0, 0), x=751,  y=888, Clicked: None, x=751, y=888,  (255, 0, 0): x=1008,  y=707,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=744,  y=917,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=8,  score=8, (255, 0, 0): x=1574,  y=649,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
14.429, 35, Clicked: None, x=751, y=888, Clicked: (255, 0, 0), x=751,  y=888, Clicked: None, x=751, y=888,  (255, 0, 0): x=998,  y=706,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=734,  y=907,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=9,  score=9, (255, 0, 0): x=1589,  y=651,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
14.579, 36, Clicked: None, x=712, y=863, Clicked: (255, 0, 0), x=712,  y=863, Clicked: None, x=712, y=863,  (255, 0, 0): x=986,  y=704,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=722,  y=888,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=10,  score=10, (255, 0, 0): x=1607,  y=653,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
14.832, 37, Clicked: None, x=686, y=828, Clicked: (255, 0, 0), x=686,  y=828, Clicked: None, x=686, y=828,  (255, 0, 0): x=967,  y=703,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=702,  y=856,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=11,  score=11, (255, 0, 0): x=1637,  y=657,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
15.111, 38, Clicked: None, x=645, y=764, Clicked: None, x=645, y=764, Clicked: None, x=645, y=764,  (255, 0, 0): x=945,  y=700,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (255, 0, 0): x=679,  y=819,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=11,  score=11, (255, 0, 0): x=1671,  y=661,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
15.561, 38, Clicked: None, x=610, y=710, Clicked: None, x=610, y=710, Clicked: None, x=610, y=710,  (255, 0, 0): x=910,  y=697,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (255, 0, 0): x=643,  y=762,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=11,  score=11, (255, 0, 0): x=1724,  y=668,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
15.711, 38, Clicked: None, x=600, y=694, Clicked: (255, 0, 0), x=600,  y=694, Clicked: None, x=600, y=694,  (255, 0, 0): x=898,  y=696,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (204, 0, 0): x=631,  y=742,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=12,  score=12, (255, 0, 0): x=1742,  y=670,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
15.875, 39, Clicked: None, x=568, y=658, Clicked: None, x=568, y=658, Clicked: None, x=568, y=658,  (255, 0, 0): x=885,  y=695,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=14,  score=14, (255, 0, 0): x=618,  y=721,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=12,  score=12, (255, 0, 0): x=1758,  y=673,  dx=-0.09916674417932365,  dy=0.012882424029373436,  clicks=13,  score=13,
