Mon 29 Jan 2024, 10:54PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=586 y=673 dx=-0.037458718076026264 dy=0.09271916975523876 clicks=0 score=0, RED x=78 y=236 dx=0.022133948827668098 dy=0.0975196816509066 clicks=0 score=0, GREEN x=1246 y=438 dx=0.07872253998996817 dy=-0.06166653628612412 clicks=0 score=0, 
7.383, 7, Clicked: RED, x=262,  y=603,  BLUE: x=421,  y=213,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=256,  y=575,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=20,  score=4, GREEN: x=1327,  y=167,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
7.518, 7, Clicked: RED, x=262,  y=589,  BLUE: x=418,  y=206,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=258,  y=567,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=21,  score=4, GREEN: x=1321,  y=162,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
7.751, 7, Clicked: RED, x=267,  y=559,  BLUE: x=413,  y=193,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=261,  y=553,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=22,  score=4, GREEN: x=1310,  y=164,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
7.917000000000001, 7, Clicked: RED, x=267,  y=554,  BLUE: x=409,  y=184,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=264,  y=543,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=23,  score=4, GREEN: x=1302,  y=171,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
8.082, 7, Clicked: RED, x=271,  y=516,  BLUE: x=406,  y=174,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=266,  y=534,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=24,  score=4, GREEN: x=1294,  y=177,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
8.248000000000001, 7, Clicked: RED, x=272,  y=506,  BLUE: x=402,  y=165,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=268,  y=524,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=25,  score=4, GREEN: x=1286,  y=183,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
8.415, 7, Clicked: RED, x=273,  y=498,  BLUE: x=398,  y=161,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=270,  y=514,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=26,  score=5, GREEN: x=1278,  y=189,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
8.581, 8, Clicked: RED, x=275,  y=494,  BLUE: x=395,  y=171,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=272,  y=504,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=27,  score=5, GREEN: x=1271,  y=195,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
8.713000000000001, 8, Clicked: RED, x=289,  y=484,  BLUE: x=392,  y=178,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=274,  y=497,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=28,  score=5, GREEN: x=1264,  y=200,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
8.881, 8, Clicked: RED, x=290,  y=480,  BLUE: x=388,  y=187,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=276,  y=487,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=29,  score=5, GREEN: x=1256,  y=206,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
9.015, 8, Clicked: RED, x=290,  y=477,  BLUE: x=385,  y=195,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=278,  y=479,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=30,  score=5, GREEN: x=1250,  y=211,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
9.149000000000001, 8, Clicked: RED, x=290,  y=477,  BLUE: x=382,  y=202,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=280,  y=471,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=31,  score=5, GREEN: x=1244,  y=216,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
9.283999999999999, 8, Clicked: RED, x=290,  y=471,  BLUE: x=379,  y=210,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=282,  y=463,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=32,  score=5, GREEN: x=1238,  y=221,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
9.552, 8, Clicked: RED, x=291,  y=456,  BLUE: x=373,  y=224,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=285,  y=448,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=33,  score=6, GREEN: x=1225,  y=231,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
9.788, 9, Clicked: RED, x=291,  y=456,  BLUE: x=368,  y=237,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=288,  y=434,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=34,  score=6, GREEN: x=1214,  y=240,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
9.923000000000002, 9, Clicked: RED, x=292,  y=451,  BLUE: x=365,  y=245,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=290,  y=426,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=35,  score=6, GREEN: x=1208,  y=245,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
10.091000000000001, 9, Clicked: RED, x=292,  y=451,  BLUE: x=361,  y=254,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=292,  y=417,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=36,  score=6, GREEN: x=1200,  y=251,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
10.225999999999999, 9, Clicked: RED, x=296,  y=397,  BLUE: x=358,  y=261,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=294,  y=409,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=37,  score=6, GREEN: x=1193,  y=256,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
10.395, 9, Clicked: RED, x=296,  y=397,  BLUE: x=354,  y=271,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=296,  y=399,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=38,  score=6, GREEN: x=1186,  y=262,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
10.527000000000001, 9, Clicked: RED, x=296,  y=397,  BLUE: x=351,  y=278,  dx=-0.037458718076026264,  dy=0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=298,  y=391,  dx=0.022133948827668098,  dy=-0.0975196816509066,  clicks=39,  score=6, GREEN: x=1179,  y=267,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
10.696000000000002, 9, Clicked: RED, x=296,  y=397,  BLUE: x=352,  y=277,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=295,  y=392,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=40,  score=7, GREEN: x=1171,  y=273,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
10.830000000000002, 10, Clicked: RED, x=296,  y=397,  BLUE: x=356,  y=270,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=290,  y=399,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=41,  score=7, GREEN: x=1165,  y=278,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
10.999000000000002, 10, Clicked: RED, x=296,  y=397,  BLUE: x=361,  y=261,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=284,  y=407,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=42,  score=7, GREEN: x=1157,  y=284,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
11.203, 10, Clicked: RED, x=296,  y=397,  BLUE: x=367,  y=251,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=276,  y=416,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=43,  score=7, GREEN: x=1148,  y=291,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
11.371000000000002, 10, Clicked: RED, x=292,  y=406,  BLUE: x=372,  y=243,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=270,  y=424,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=44,  score=7, GREEN: x=1140,  y=298,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
11.575, 10, Clicked: RED, x=284,  y=420,  BLUE: x=377,  y=232,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=262,  y=434,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=45,  score=7, GREEN: x=1130,  y=305,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
11.711000000000002, 10, Clicked: RED, x=266,  y=455,  BLUE: x=381,  y=226,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=257,  y=440,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=46,  score=8, GREEN: x=1124,  y=310,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
11.846, 11, Clicked: RED, x=264,  y=458,  BLUE: x=385,  y=219,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=252,  y=447,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=47,  score=8, GREEN: x=1118,  y=315,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
12.016000000000002, 11, Clicked: RED, x=253,  y=477,  BLUE: x=390,  y=210,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=246,  y=455,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=48,  score=8, GREEN: x=1110,  y=321,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
12.117, 11, Clicked: RED, x=248,  y=486,  BLUE: x=393,  y=205,  dx=0.04787597259200709,  dy=-0.08517112951446561,  clicks=9,  score=2, DARK_RED: x=242,  y=460,  dx=-0.06320074184036525,  dy=0.08037061761879777,  clicks=49,  score=8, GREEN: x=1105,  y=325,  dx=-0.07872253998996817,  dy=0.06166653628612412,  clicks=8,  score=1,
