Mon 15 Jan 2024, 11:10PM
################# Phase 1 ######################
################# INIT particles ######################
2.962, Init stimuli, 0, RED x=1592 y=534 dx=0.1117348724218911 dy=0.11795919687719791 clicks=0 score=0, ORANGE x=654 y=401 dx=0.11232195040067088 dy=0.11695501244298843 clicks=0 score=0, YELLOW x=311 y=313 dx=0.1133468334354059 dy=0.11272374694983729 clicks=0 score=0,  RED: x=1592,  y=534,  dx=0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=654,  y=401,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=0,  score=0, YELLOW: x=311,  y=313,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
8.073, 9, Clicked: ORANGE, x=1484,  y=566,  RED: x=1620,  y=701,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1454,  y=598,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=11,  score=10, YELLOW: x=585,  y=752,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
8.272, 10, Clicked: ORANGE, x=1501,  y=524,  RED: x=1647,  y=672,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1480,  y=571,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=12,  score=11, YELLOW: x=611,  y=728,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
8.449, 11, Clicked: ORANGE, x=1519,  y=501,  RED: x=1672,  y=646,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1504,  y=546,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=13,  score=12, YELLOW: x=636,  y=705,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
8.581, 12, Clicked: ORANGE, x=1536,  y=489,  RED: x=1691,  y=627,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1522,  y=528,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=14,  score=13, YELLOW: x=654,  y=688,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
8.725, 13, Clicked: ORANGE, x=1553,  y=469,  RED: x=1711,  y=605,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1542,  y=507,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=15,  score=14, YELLOW: x=674,  y=670,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
8.969, 14, Clicked: ORANGE, x=1594,  y=421,  RED: x=1745,  y=569,  dx=0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1575,  y=474,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=16,  score=15, YELLOW: x=708,  y=639,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
9.166, 15, Clicked: ORANGE, x=1618,  y=399,  RED: x=1748,  y=541,  dx=-0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1602,  y=447,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=17,  score=16, YELLOW: x=734,  y=614,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
9.331999999999999, 16, Clicked: ORANGE, x=1624,  y=391,  RED: x=1725,  y=517,  dx=-0.11395548029908407,  dy=-0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1624,  y=424,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=18,  score=17, YELLOW: x=757,  y=593,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
9.483, 17, Clicked: ORANGE, x=1627,  y=386,  RED: x=1710,  y=502,  dx=-0.020737165035757524,  dy=-0.005559132060891717,  clicks=0,  score=0, ORANGE: x=1638,  y=397,  dx=0.017336024608044134,  dy=-0.22693937063035802,  clicks=19,  score=18, YELLOW: x=777,  y=575,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
9.631, 18, Clicked: ORANGE, x=1628,  y=384,  RED: x=1707,  y=501,  dx=-0.020737165035757524,  dy=-0.005559132060891717,  clicks=0,  score=0, ORANGE: x=1641,  y=356,  dx=0.017336024608044134,  dy=-0.22693937063035802,  clicks=20,  score=19, YELLOW: x=797,  y=556,  dx=0.11190466199616954,  dy=-0.10316595724098408,  clicks=0,  score=0,
