Wed 28 Aug 2024, 09:59PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
12.321, 21, Clicked: RED, x=505,  y=407,  DARK_RED: x=495,  y=399,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=23,  score=9, ORANGE: x=1486,  y=261,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=613,  y=628,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
12.47, 22, Clicked: RED, x=504,  y=407,  DARK_RED: x=485,  y=412,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=24,  score=10, ORANGE: x=1474,  y=277,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=598,  y=638,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
12.732, 23, Clicked: RED, x=482,  y=440,  DARK_RED: x=467,  y=435,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=25,  score=11, ORANGE: x=1453,  y=304,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=571,  y=655,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
12.88, 24, Clicked: RED, x=475,  y=451,  DARK_RED: x=457,  y=449,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=26,  score=12, ORANGE: x=1441,  y=319,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=556,  y=665,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
13.011, 25, Clicked: RED, x=469,  y=454,  DARK_RED: x=448,  y=460,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=27,  score=13, ORANGE: x=1430,  y=333,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=542,  y=674,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
13.584, 26, Clicked: RED, x=435,  y=494,  DARK_RED: x=410,  y=512,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=28,  score=14, ORANGE: x=1384,  y=392,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=484,  y=711,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
13.716, 27, Clicked: RED, x=434,  y=498,  DARK_RED: x=401,  y=524,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=29,  score=15, ORANGE: x=1373,  y=406,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=470,  y=720,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
13.949, 28, Clicked: RED, x=416,  y=544,  DARK_RED: x=386,  y=544,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=30,  score=16, ORANGE: x=1355,  y=429,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=447,  y=735,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
14.113, 29, Clicked: RED, x=414,  y=550,  DARK_RED: x=375,  y=559,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=31,  score=17, ORANGE: x=1342,  y=446,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=430,  y=746,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
14.225, 30, Clicked: RED, x=414,  y=550,  DARK_RED: x=367,  y=569,  dx=-0.05487171583202019,  dy=0.0733995894447663,  clicks=32,  score=18, ORANGE: x=1332,  y=458,  dx=-0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, YELLOW: x=418,  y=754,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
