Mon 29 Jan 2024, 10:52PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=273 y=387 dx=-0.015977644047738056 dy=-0.0987153224716598 clicks=0 score=0, RED x=898 y=378 dx=0.09930471421805133 dy=-0.011771734539614562 clicks=0 score=0, GREEN x=1216 y=222 dx=0.05969634481172388 dy=-0.080226843488447 clicks=0 score=0, 
11.455, 10, Clicked: RED, x=1350,  y=275,  BLUE: x=164,  y=606,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=12,  score=3, DARK_RED: x=1342,  y=298,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=13,  score=4, GREEN: x=1296,  y=595,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=11,  score=3,
12.588999999999999, 10, Clicked: BLUE, x=190,  y=548,  DARK_BLUE: x=166,  y=566,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=13,  score=4, RED: x=1275,  y=290,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=13,  score=4, GREEN: x=1255,  y=541,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=11,  score=3,
12.724, 11, Clicked: BLUE, x=189,  y=548,  DARK_BLUE: x=167,  y=558,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=14,  score=4, RED: x=1267,  y=289,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=13,  score=4, GREEN: x=1251,  y=534,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=11,  score=3,
13.062999999999999, 11, Clicked: BLUE, x=186,  y=543,  DARK_BLUE: x=171,  y=539,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1247,  y=287,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=13,  score=4, GREEN: x=1239,  y=518,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=11,  score=3,
13.709, 11, Clicked: GREEN, x=1205,  y=501,  BLUE: x=177,  y=501,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1209,  y=282,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=13,  score=4, DARK_GREEN: x=1216,  y=488,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=12,  score=4,
13.844999999999999, 12, Clicked: GREEN, x=1205,  y=501,  BLUE: x=178,  y=493,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1201,  y=281,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=13,  score=4, DARK_GREEN: x=1211,  y=482,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=13,  score=4,
13.98, 12, Clicked: GREEN, x=1205,  y=501,  BLUE: x=179,  y=485,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, RED: x=1193,  y=280,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=13,  score=4, DARK_GREEN: x=1206,  y=475,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=14,  score=4,
14.418, 12, Clicked: RED, x=1195,  y=304,  BLUE: x=183,  y=460,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1168,  y=277,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=14,  score=5, GREEN: x=1191,  y=454,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=14,  score=4,
14.553, 13, Clicked: RED, x=1195,  y=304,  BLUE: x=185,  y=452,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1160,  y=276,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=15,  score=5, GREEN: x=1186,  y=448,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=14,  score=4,
14.753999999999998, 13, Clicked: RED, x=1142,  y=287,  BLUE: x=187,  y=440,  dx=0.015977644047738056,  dy=-0.0987153224716598,  clicks=15,  score=4, DARK_RED: x=1148,  y=275,  dx=-0.09930471421805133,  dy=-0.011771734539614562,  clicks=16,  score=5, GREEN: x=1179,  y=438,  dx=-0.05969634481172388,  dy=-0.080226843488447,  clicks=14,  score=4,
